series,episode,baker,last_name,result,technical,baker_age,baker_occupation,hometown,signature_bake,show_stopper,age,occupation
9,1,Manon,Lagrave,STAR BAKER,3,26,Software project manager,London,NA,NA,26,Software project manager
9,2,Antony,Amourdoux,IN,9,30,Banker,London,NA,NA,30,Banker
9,2,Briony,Williams,IN,5,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,2,Dan,Beasley-Harling,IN,3,36,Full-time parent,London,NA,NA,36,Full-time parent
9,2,Jon,Jenkins,IN,1,47,Blood courier,Newport,NA,NA,47,Blood courier
9,2,Karen,Wright,IN,11,60,In-store sampling assistant,Wakefield,NA,NA,60,In-store sampling assistant
9,2,Kim-Joy,Hewlett,IN,4,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,2,Manon,Lagrave,IN,6,26,Software project manager,London,NA,NA,26,Software project manager
9,2,Ruby,Bhogal,IN,10,29,Project manager,London,NA,NA,29,Project manager
9,2,Terry,Hartill,IN,8,56,Retired air steward,West Midlands,NA,NA,56,Retired air steward
9,2,Luke,Thompson,OUT,7,30,Civil servant/house and techno DJ,Sheffield,NA,NA,30,Civil servant/house and techno DJ
9,2,Rahul,Mandal,STAR BAKER,2,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,3,Briony,Williams,IN,9,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,3,Dan,Beasley-Harling,IN,6,36,Full-time parent,London,NA,NA,36,Full-time parent
9,3,Jon,Jenkins,IN,2,47,Blood courier,Newport,NA,NA,47,Blood courier
9,3,Karen,Wright,IN,5,60,In-store sampling assistant,Wakefield,NA,NA,60,In-store sampling assistant
9,3,Kim-Joy,Hewlett,IN,10,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,3,Manon,Lagrave,IN,3,26,Software project manager,London,NA,NA,26,Software project manager
9,3,Ruby,Bhogal,IN,7,29,Project manager,London,NA,NA,29,Project manager
9,3,Terry,Hartill,IN,1,56,Retired air steward,West Midlands,NA,NA,56,Retired air steward
9,3,Antony,Amourdoux,OUT,8,30,Banker,London,NA,NA,30,Banker
9,3,Rahul,Mandal,STAR BAKER,4,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,4,Terry,Hartill,[a],NA,56,Retired air steward,West Midlands,NA,NA,56,Retired air steward
9,4,Briony,Williams,IN,5,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,4,Jon,Jenkins,IN,3,47,Blood courier,Newport,NA,NA,47,Blood courier
9,4,Karen,Wright,IN,7,60,In-store sampling assistant,Wakefield,NA,NA,60,In-store sampling assistant
9,4,Kim-Joy,Hewlett,IN,6,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,4,Manon,Lagrave,IN,8,26,Software project manager,London,NA,NA,26,Software project manager
9,4,Rahul,Mandal,IN,4,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,4,Ruby,Bhogal,IN,2,29,Project manager,London,NA,NA,29,Project manager
9,4,Dan,Beasley-Harling,STAR BAKER,1,36,Full-time parent,London,NA,NA,36,Full-time parent
9,5,Briony,Williams,IN,6,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,5,Dan,Beasley-Harling,IN,2,36,Full-time parent,London,NA,NA,36,Full-time parent
9,5,Jon,Jenkins,IN,7,47,Blood courier,Newport,NA,NA,47,Blood courier
9,5,Manon,Lagrave,IN,5,26,Software project manager,London,NA,NA,26,Software project manager
9,5,Rahul,Mandal,IN,3,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,5,Ruby,Bhogal,IN,1,29,Project manager,London,NA,NA,29,Project manager
9,5,Karen,Wright,OUT,9,60,In-store sampling assistant,Wakefield,NA,NA,60,In-store sampling assistant
9,5,Terry,Hartill,OUT,8,56,Retired air steward,West Midlands,NA,NA,56,Retired air steward
9,5,Kim-Joy,Hewlett,STAR BAKER,4,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,6,Jon,Jenkins,IN,2,47,Blood courier,Newport,NA,NA,47,Blood courier
9,6,Kim-Joy,Hewlett,IN,5,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,6,Manon,Lagrave,IN,4,26,Software project manager,London,NA,NA,26,Software project manager
9,6,Rahul,Mandal,IN,3,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,6,Ruby,Bhogal,IN,7,29,Project manager,London,NA,NA,29,Project manager
9,6,Dan,Beasley-Harling,OUT,6,36,Full-time parent,London,NA,NA,36,Full-time parent
9,6,Briony,Williams,STAR BAKER,1,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,7,Briony,Williams,IN,5,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,7,Manon,Lagrave,IN,2,26,Software project manager,London,NA,NA,26,Software project manager
9,7,Rahul,Mandal,IN,1,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,7,Ruby,Bhogal,IN,3,29,Project manager,London,NA,NA,29,Project manager
9,7,Jon,Jenkins,OUT,4,47,Blood courier,Newport,NA,NA,47,Blood courier
9,7,Kim-Joy,Hewlett,STAR BAKER,6,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,8,Briony,Williams,IN,1,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,8,Kim-Joy,Hewlett,IN,2,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,8,Rahul,Mandal,IN,5,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,8,Manon,Lagrave,OUT,4,26,Software project manager,London,NA,NA,26,Software project manager
9,8,Ruby,Bhogal,STAR BAKER,3,29,Project manager,London,NA,NA,29,Project manager
9,9,Kim-Joy,Hewlett,IN,2,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,9,Rahul,Mandal,IN,4,30,Research scientist,Rotherham,NA,NA,30,Research scientist
9,9,Briony,Williams,OUT,3,33,Full-time parent,Bristol,NA,NA,33,Full-time parent
9,9,Ruby,Bhogal,STAR BAKER,1,29,Project manager,London,NA,NA,29,Project manager
9,10,Kim-Joy,Hewlett,Runner-up,1,27,Mental health specialist,Leeds,NA,NA,27,Mental health specialist
9,10,Ruby,Bhogal,Runner-up,3,29,Project manager,London,NA,NA,29,Project manager
9,10,Rahul,Mandal,WINNER,2,30,Research scientist,Rotherham,NA,NA,30,Research scientist
10,1,Alice,Fevronia,IN,5,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,1,Amelia,LeBruin,IN,4,24,Fashion designer,Halifax,NA,NA,24,Fashion designer
10,1,David,Atherton,IN,10,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,1,Helena,Garcia,IN,12,40,Online project manager,Leeds,NA,NA,40,Online project manager
10,1,Henry,Bird,IN,1,20,Student,Durham,NA,NA,20,Student
10,1,Jamie,Finn,IN,13,20,Part-time waiter,Surrey,NA,NA,20,Part-time waiter
10,1,Michael,Chakraverty,IN,11,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,1,Phil,Thorne,IN,8,56,HGV driver,Rainham,NA,NA,56,HGV driver
10,1,Priya,O'Shea,IN,7,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,1,Rosie,Brandreth-Poynter,IN,2,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,1,Steph,Blackwell,IN,3,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,1,Dan,Chambers,OUT,9,32,Support worker,Rotherham,NA,NA,32,Support worker
10,1,Michelle,Evans-Fecci,STAR BAKER,6,35,Print shop administrator,"Tenby, Wales",NA,NA,35,Print shop administrator
10,2,Amelia,LeBruin,IN,9,24,Fashion designer,Halifax,NA,NA,24,Fashion designer
10,2,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,2,Helena,Garcia,IN,12,40,Online project manager,Leeds,NA,NA,40,Online project manager
10,2,Henry,Bird,IN,6,20,Student,Durham,NA,NA,20,Student
10,2,Michael,Chakraverty,IN,4,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,2,Michelle,Evans-Fecci,IN,8,35,Print shop administrator,"Tenby, Wales",NA,NA,35,Print shop administrator
10,2,Phil,Thorne,IN,3,56,HGV driver,Rainham,NA,NA,56,HGV driver
10,2,Priya,O'Shea,IN,7,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,2,Rosie,Brandreth-Poynter,IN,5,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,2,Steph,Blackwell,IN,10,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,2,Jamie,Finn,OUT,11,20,Part-time waiter,Surrey,NA,NA,20,Part-time waiter
10,2,Alice,Fevronia,STAR BAKER,1,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,3,Alice,Fevronia,IN,7,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,3,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,3,Helena,Garcia,IN,8,40,Online project manager,Leeds,NA,NA,40,Online project manager
10,3,Henry,Bird,IN,1,20,Student,Durham,NA,NA,20,Student
10,3,Michelle,Evans-Fecci,IN,5,35,Print shop administrator,"Tenby, Wales",NA,NA,35,Print shop administrator
10,3,Phil,Thorne,IN,10,56,HGV driver,Rainham,NA,NA,56,HGV driver
10,3,Priya,O'Shea,IN,4,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,3,Rosie,Brandreth-Poynter,IN,9,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,3,Steph,Blackwell,IN,3,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,3,Amelia,LeBruin,OUT,11,24,Fashion designer,Halifax,NA,NA,24,Fashion designer
10,3,Michael,Chakraverty,STAR BAKER,6,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,4,Alice,Fevronia,IN,8,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,4,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,4,Helena,Garcia,IN,9,40,Online project manager,Leeds,NA,NA,40,Online project manager
10,4,Henry,Bird,IN,3,20,Student,Durham,NA,NA,20,Student
10,4,Michael,Chakraverty,IN,7,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,4,Michelle,Evans-Fecci,IN,5,35,Print shop administrator,"Tenby, Wales",NA,NA,35,Print shop administrator
10,4,Priya,O'Shea,IN,10,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,4,Rosie,Brandreth-Poynter,IN,4,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,4,Phil,Thorne,OUT,6,56,HGV driver,Rainham,NA,NA,56,HGV driver
10,4,Steph,Blackwell,STAR BAKER,1,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,5,Alice,Fevronia,IN,6,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,5,David,Atherton,IN,9,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,5,Henry,Bird,IN,3,20,Student,Durham,NA,NA,20,Student
10,5,Michael,Chakraverty,IN,8,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,5,Priya,O'Shea,IN,2,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,5,Rosie,Brandreth-Poynter,IN,5,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,5,Helena,Garcia,OUT,1,40,Online project manager,Leeds,NA,NA,40,Online project manager
10,5,Michelle,Evans-Fecci,OUT,7,35,Print shop administrator,"Tenby, Wales",NA,NA,35,Print shop administrator
10,5,Steph,Blackwell,STAR BAKER,4,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,6,Alice,Fevronia,IN,1,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,6,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,6,Henry,Bird,IN,4,20,Student,Durham,NA,NA,20,Student
10,6,Michael,Chakraverty,IN,6,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,6,Rosie,Brandreth-Poynter,IN,5,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,6,Priya,O'Shea,OUT,7,34,Marketing consultant,Leicester,NA,NA,34,Marketing consultant
10,6,Steph,Blackwell,STAR BAKER,3,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,7,Alice,Fevronia,IN,6,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,7,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,7,Rosie,Brandreth-Poynter,IN,1,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,7,Steph,Blackwell,IN,4,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,7,Michael,Chakraverty,OUT,5,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,26,Theatre manager/fitness instructor
10,7,Henry,Bird,STAR BAKER,3,20,Student,Durham,NA,NA,20,Student
10,8,Alice,Fevronia,IN,3,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,8,David,Atherton,IN,1,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,8,Rosie,Brandreth-Poynter,IN,2,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,8,Henry,Bird,OUT,5,20,Student,Durham,NA,NA,20,Student
10,8,Steph,Blackwell,STAR BAKER,4,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,9,David,Atherton,IN,2,36,International health adviser,Whitby,NA,NA,36,International health adviser
10,9,Steph,Blackwell,IN,3,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,9,Rosie,Brandreth-Poynter,OUT,1,28,Veterinary surgeon,Somerset,NA,NA,28,Veterinary surgeon
10,9,Alice,Fevronia,STAR BAKER,4,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,10,Alice,Fevronia,Runner-up,2,28,Geography teacher,Essex,NA,NA,28,Geography teacher
10,10,Steph,Blackwell,Runner-up,3,28,Shop assistant,Chester,NA,NA,28,Shop assistant
10,10,David,Atherton,WINNER,1,36,International health adviser,Whitby,NA,NA,36,International health adviser
